,Topic,Count,Name,Representation,Representative_Docs
0,-1,2,-1_cooking_knife_czech_comfortable,"['cooking', 'knife', 'czech', 'comfortable', 'variables', 'style', 'court', 'hands', 'personal', 'old']","['the company is aiming for a 16 % market share by the end of its fiscal year in march , an 18 % share by 202 5 .', 'the market', 'the []']"
1,0,34826,0_market_company_global_data,"['market', 'company', 'global', 'data', 'industry', 'power', 'companies', 'time', 'year', 'system']","[', the computer engineering market report also focuses on other results , as well as revenue forecast s , market share , market competition trends , sales volume and market concentration level .', 'that the [] stock market is', 'am id the co vi d - 19 crisis , the global market for [] estimated at [] $ 67 . 6 bill ion in the year 2020 , is projected to reach a revised size of [] $ 82 . 3 bill ion by 202 6']"
2,1,10402,1_countries_government_country_market,"['countries', 'government', 'country', 'market', 'chinese', 'global', 'trade', 'supply', 'companies', 'world']","['the global market', 'the growth of the market will be', 'to supply the u . s . market .']"
3,2,11368,2_re_round_one_take,"['re', 'round', 'one', 'take', 'way', 'time', 'first', 'war', 'year', 'technology']","['[] is', '[] has been', 'the [] has']"
4,3,15113,3_manufacturing_industry_market_production,"['manufacturing', 'industry', 'market', 'production', 'industrial', 'companies', 'technology', 'equipment', 'customers', 'products']","['our broad product portfolio , system expertise continuous investment in our manufacturing capabilities', '“ [] has the most advanced manufacturing technology', 'for the p v manufacturing industry .']"
5,4,5984,4_revenue_year_usd_company,"['revenue', 'year', 'usd', 'company', 'ye', 'total', 'shares', 'quarter', 'value', 'stock']","['[] will invest 10 billion ye n ( $ 78 million )', 'billion ( $ 6 . 6 billion )', '202 2 revenue of $ 3 . 2 billion']"
6,5,10229,5_economy_economic_demand_market,"['economy', 'economic', 'demand', 'market', 'prices', 'supply', 'global', 'inflation', 'growth', 'down']","['the [] economy slow s', 'global manufacturing output growth slowed down in may 202 2', 'as significant decline in both demand and supply in the manufacturing sector .']"
7,6,7566,6_energy_solar_power_renewable,"['energy', 'solar', 'power', 'renewable', 'wind', 'carbon', 'electricity', 'emissions', 'storage', 'green']","['solar energy is available', 'the rise in wind energy consumption , increasing solar energy installation , growing support from governments for solar energy projects .', 'the use of renewable energy sources , particularly solar energy ,']"
8,7,3962,7_automation_industrial_machine_automated,"['automation', 'industrial', 'machine', 'automated', 'auto', 'systems', 'process', 'control', 'ai', 'solutions']","['the [] and increasing industrial automation', 'the growth in industrial automation', 'the growth of the industrial automation market .']"
9,8,3515,8_robot_robots_robotic_industrial,"['robot', 'robots', 'robotic', 'industrial', 'ai', 'market', 'automation', 'mobile', 'collaborative', 'autonomous']","['with industrial robots', 'the industrial robots market growth .', 'the growth of the industrial robots global market .']"
10,9,4067,9_electric_vehicles_vehicle_battery,"['electric', 'vehicles', 'vehicle', 'battery', 'car', 'motor', 'motors', 'hybrid', 'cars', 'drive']","['battery electric vehicles and p lug - in hybrid electric vehicle manufacturers to offer consumers with additional services associated to their vehicles .', 'the costs of electric vehicles .', 'to make electric vehicles']"
11,10,4813,10_charging_charge_power_electric,"['charging', 'charge', 'power', 'electric', 'battery', 'stations', 'vehicle', 'infrastructure', 'voltage', 'batteries']","['charging products', 'e v charging infrastructure', 'of charging stations']"
12,11,5913,11_interest_inflation_rates_rate,"['interest', 'inflation', 'rates', 'rate', 'banks', 'bank', 'financial', 'debt', 'hike', 'central']","['higher interest rates .', 'to higher interest rates', 'interest rates .']"
13,12,7446,12_down_problem_such_case,"['down', 'problem', 'such', 'case', 'situation', 'long', 'part', 'government', 'legislation', 'years']","['of a record $ 4 . 5 billion operating loss this year and its lowest sales in a decade', 'expects a group net loss of 360 billion ye n ( $ 3 . 4 billion ) for the year ending march 202 1 , marking the second straight year of red ink , as', '[] was loss - making last year .']"
14,13,4034,13_test_testing_equipment_measurement,"['test', 'testing', 'equipment', 'measurement', 'market', 'results', 'tests', 'system', 'inspection', 'ing']","['semi conductor automated test equipment', 'the test measurement equipment market growth .', 'the demand for automated test equipment .']"
15,14,7682,14_conductor_semi_equipment_devices,"['conductor', 'semi', 'equipment', 'devices', 'chip', 'technology', 'market', 'manufacturing', 'high', 'industry']","['the semi conductor manufacturing equipment market growth', 'the global semi conductor manufacturing equipment market', 'semi conductor industry']"
16,15,3980,15_mic_pan_hydrogen_co,"['mic', 'pan', 'hydrogen', 'co', 'zone', 'green', 'recovery', 'account', 'ongoing', 'formula']","['the global co vi d - 19 pan de mic ,', 'co vi d - 19 impact on the [] vid - 19 pan de mic', 'the global co vi d - 19 pan de mic']"
17,16,3556,16_automotive_auto_car_market,"['automotive', 'auto', 'car', 'market', 'industry', 'vehicles', 'vehicle', 'makers', 'global', 'industrial']","['increase i g automotive production with rise in sales in the automotive industry over the years .', 'the auto maker ’', ', the growth in the automotive industry']"
18,17,2861,17_co_covid_pandemic_disease,"['co', 'covid', 'pandemic', 'disease', 'outbreak', 'mic', 'spread', 'infections', 'cells', 'cases']","['to control the spread of the co rona virus .', 'the co rona virus lock down in []', 'the co rona virus']"
19,18,4290,18_nuclear_water_plant_tsunami,"['nuclear', 'water', 'plant', 'tsunami', 'earthquake', 'power', 'reactors', 'disaster', 'radiation', 'radioactive']","['[] nuclear plant .', '[] nuclear plant .', '1 nuclear plant']"
